date,type,country,kappa_country,strength,degree
2009-10-01,partial,ARG,0.9054888981641678,3.70577822947874,7
2010-01-01,partial,ARG,0.9045865113681114,3.7096566321570164,7
2010-04-01,partial,ARG,0.8778456269102466,3.2715813162785006,6
2010-07-01,partial,ARG,0.8755886951402257,3.2929714085163218,6
2010-10-01,partial,ARG,0.874549881386517,3.18767434006267,6
2011-01-01,partial,ARG,0.8385795094408781,0.4931804729247143,1
2011-04-01,partial,ARG,0.8672035266334477,2.470517087726636,5
2011-07-01,partial,ARG,0.8644497183253317,3.180379748765625,6
2011-10-01,partial,ARG,0.8864580419107944,2.9745289057266744,5
2012-01-01,partial,ARG,0.9001649793202242,2.475290464070471,4
2012-04-01,partial,ARG,0.9145270757189037,2.8696051979871995,5
2012-07-01,partial,ARG,0.8086650687764564,3.6736976616448285,6
2012-10-01,partial,ARG,0.8412440078215985,4.715513264853195,7
2013-01-01,partial,ARG,0.8665752775812134,4.92178055745632,7
2013-04-01,partial,ARG,0.8107064109423705,4.281510800323378,6
2013-07-01,partial,ARG,0.8348564797696278,4.794046292571593,7
2013-10-01,partial,ARG,0.8542577855780678,5.345585606468946,8
2014-01-01,partial,ARG,0.8601514143710172,5.57558198980038,8
2014-04-01,partial,ARG,0.8386614159526402,6.208730975699634,9
2014-07-01,partial,ARG,0.825833125750266,5.721056361566779,9
2014-10-01,partial,ARG,0.8291207175791366,5.620334274319052,9
2015-01-01,partial,ARG,0.7950232370419145,3.722472763195305,7
2015-04-01,partial,ARG,0.8541205793643891,4.330392565739493,8
2015-07-01,partial,ARG,0.8942519121049333,4.177584377930132,8
2015-10-01,partial,ARG,0.755880424611076,1.30402897007537,3
2016-01-01,partial,ARG,,0.0,0
2016-04-01,partial,ARG,,0.0,0
2016-07-01,partial,ARG,,0.0,0
2016-10-01,partial,ARG,0.448801856856334,0.4112673726079492,1
2017-01-01,partial,ARG,0.4012486706740444,0.832480814900545,2
2017-04-01,partial,ARG,0.41315320579930265,0.8737522373275997,2
2017-07-01,partial,ARG,0.7433581169405478,0.4818598485792454,1
2017-10-01,partial,ARG,0.4764888160729639,0.4451516334071697,1
2018-01-01,partial,ARG,,0.0,0
2018-04-01,partial,ARG,0.6182769754323334,0.532430175851941,1
2018-07-01,partial,ARG,0.806960530714646,1.6030380676583678,3
2018-10-01,partial,ARG,0.9334749290597025,5.068689860638641,7
2019-01-01,partial,ARG,0.9445352148780974,5.248324324201969,7
2019-04-01,partial,ARG,0.980830559003042,6.018022959992074,8
2019-07-01,partial,ARG,0.9569168700377656,5.50414448888868,7
2019-10-01,partial,ARG,0.9927884562071934,8.366120178949853,9
2020-01-01,partial,ARG,0.9909930875714452,8.239680494816763,9
2020-04-01,partial,ARG,0.9828942987312539,7.605048828925512,10
2020-07-01,partial,ARG,0.9805099257947418,7.605137214326624,10
2020-10-01,partial,ARG,0.9806269800111558,7.777917619864999,10
2021-01-01,partial,ARG,0.9801012335976672,7.730321440358778,10
2021-04-01,partial,ARG,0.9799448254228811,7.71234089776803,10
2021-07-01,partial,ARG,0.9795286638913598,7.680075321409495,10
2021-10-01,partial,ARG,0.9892298470936961,8.747827020088275,10
2022-01-01,partial,ARG,0.9881438009106255,8.68308468384258,10
2022-04-01,partial,ARG,0.9535259457060337,7.379302917710926,10
2022-07-01,partial,ARG,0.9859868360029862,7.7709496695680444,9
2022-10-01,partial,ARG,0.8922852307087676,4.889918101055605,8
2023-01-01,partial,ARG,0.9044223514259684,5.595201478822608,8
2023-04-01,partial,ARG,0.9105466848200842,6.009496386021939,8
2023-07-01,partial,ARG,0.8996392420724502,5.953342519143783,8
2023-10-01,partial,ARG,0.8980766919269152,5.710009619134561,8
2024-01-01,partial,ARG,0.9151568691031426,5.64100360338279,8
2024-04-01,partial,ARG,0.9111811072751608,5.800636635156393,8
2024-07-01,partial,ARG,0.9264200484488941,5.8195038944921995,8
2024-10-01,partial,ARG,0.9352398902800078,5.668040372898603,8
2025-01-01,partial,ARG,0.9367715335333879,5.6521602030569875,8
2025-04-01,partial,ARG,0.9361670031822646,5.236401811119576,8
2025-07-01,partial,ARG,0.9170747731759861,4.562630654950118,8
2025-10-01,partial,ARG,0.9288865947764611,4.9946030167869635,8
2026-01-01,partial,ARG,0.9205654025158987,5.734759676901822,8
2026-04-01,partial,ARG,0.9366067219761194,5.753537435093004,8
2009-10-01,partial,BRA,0.9522415325161762,8.277333073218166,10
2010-01-01,partial,BRA,0.9520693925842038,8.27031082246532,10
2010-04-01,partial,BRA,0.9460059581129217,8.254805438351921,10
2010-07-01,partial,BRA,0.9451715327400294,8.265532964029415,10
2010-10-01,partial,BRA,0.9446586057736213,8.253807917853061,10
2011-01-01,partial,BRA,0.9727386673941043,6.795419835457213,8
2011-04-01,partial,BRA,0.9249846094669216,7.53778665711153,9
2011-07-01,partial,BRA,0.8770378970364813,6.0377705424120025,9
2011-10-01,partial,BRA,0.8735532454821262,4.67971461921206,7
2012-01-01,partial,BRA,0.8157048012780638,4.38273471803795,7
2012-04-01,partial,BRA,0.8627267880682487,4.391398783810679,7
2012-07-01,partial,BRA,0.8527666053001036,4.74248188207273,7
2012-10-01,partial,BRA,0.8563742408043813,4.948448729112908,7
2013-01-01,partial,BRA,0.890071725091391,4.83951690632406,7
2013-04-01,partial,BRA,0.8557602431136522,4.874731474518847,7
