date,type,kappa_ollivier,kappa_forman,rho_max,rho_frob,sfi_max,sfi_frob,hhi,density,n_nodes,n_edges
2009-10-01,partial,0.9389564723513611,1.17175809407189,0.8679765649173418,0.9278446335893835,6.574412825828326,12.858983049289407,0.09655493152796175,0.8909090909090909,11,49
2010-01-01,partial,0.9386938708634133,1.1646037480034863,0.8673944374696355,0.9279170698367699,6.541161780230874,12.872909962671104,0.09660546968468632,0.8909090909090909,11,49
2010-04-01,partial,0.9316465146534091,1.1700184061084908,0.8639004226208212,0.9276844752364687,6.3475613903925705,12.828289337178392,0.09774354805734038,0.8727272727272727,11,48
2010-07-01,partial,0.9306143475182163,1.1701476750016,0.8632128238991028,0.9276504905767843,6.310626832901194,12.82179378923497,0.09774741248666934,0.8727272727272727,11,48
2010-10-01,partial,0.9299298180679229,1.1441725390526845,0.8629656802243953,0.9280333311460605,6.2974419958263885,12.895321485972305,0.09790335516083286,0.8727272727272727,11,48
2011-01-01,partial,0.9453515261819174,1.319611139932528,0.9031464744042381,0.9219909081033647,9.324869372062983,11.819018600101563,0.10888177742003483,0.6727272727272727,11,37
2011-04-01,partial,0.9311428963012878,1.0541416321186803,0.8744976805220828,0.9283577034345503,6.967980226659915,12.958234840872768,0.0979561218839595,0.8727272727272727,11,48
2011-07-01,partial,0.8698711350895563,0.9842037762252877,0.7047539614936947,0.8639980712118335,2.3870056480999797,6.352836896582379,0.11226537376846721,0.5818181818181818,11,32
2011-10-01,partial,0.8637181225012818,1.0576769400998391,0.7529722720989277,0.8406129860426863,3.048128558266431,5.274036856401711,0.12915973342383377,0.4,11,22
2012-01-01,partial,0.8148466613056714,0.9979358683627326,0.7073460203510442,0.8028515798056914,2.417004618216775,4.072320635460353,0.12820128852167795,0.36363636363636365,11,20
2012-04-01,partial,0.8402356348211965,1.0030068297758319,0.7314326975450492,0.810917164222053,2.7234614596009474,4.2886873411099495,0.12751612443200847,0.38181818181818183,11,21
2012-07-01,partial,0.8028012608921653,1.057340454316664,0.75187655436534,0.8088735118893938,3.0302519475423217,4.232137156317618,0.11569696359115228,0.43636363636363634,11,24
2012-10-01,partial,0.8179656843294721,1.002090312879892,0.7712179315439064,0.8278816928627906,3.3709719330206753,4.80995721276075,0.10815517815070395,0.5272727272727272,11,29
2013-01-01,partial,0.8427063006728494,1.0550781518350874,0.8154306375648641,0.8159642009271753,4.418017306915902,4.433725422108175,0.10587940530252633,0.509090909090909,11,28
2013-04-01,partial,0.8273120925796564,1.1645398440457186,0.8082856829182545,0.8293843124128567,4.216094526595048,4.861125750756314,0.11462208888698332,0.45454545454545453,11,25
2013-07-01,partial,0.8566186857737619,1.1736861651055184,0.8322389949853639,0.8420445809802867,4.960860808581567,5.330900238852817,0.11492584352746493,0.4727272727272727,11,26
2013-10-01,partial,0.8388318373656497,1.0080605960498834,0.7960599418031715,0.8492389422035381,3.903401562408455,5.633012626842079,0.10942024360693062,0.5636363636363636,11,31
2014-01-01,partial,0.8771948936464635,1.0866733574667848,0.8291127222779006,0.8706453468658327,4.851810698431404,6.730684407330869,0.10538889454839527,0.6545454545454545,11,36
2014-04-01,partial,0.8830512075977681,1.0249850143033057,0.8280704220779929,0.8858489522326469,4.8163348743497325,7.760322568725449,0.10617836542887804,0.6727272727272727,11,37
2014-07-01,partial,0.879373181099825,1.0367328402865232,0.8552967535046414,0.8829439362196322,5.910694985907419,7.542914973429306,0.11300737686134979,0.6,11,33
2014-10-01,partial,0.9010538956360259,1.1915265444245147,0.8768746319388859,0.895075898099335,7.121803132427133,8.530698684909703,0.12088449617720586,0.5272727272727272,11,29
2015-01-01,partial,0.9106608426075586,0.9851390957889132,0.849974561479425,0.9103881634661793,5.665536257458474,10.159240103539082,0.11400939620412494,0.6181818181818182,11,34
2015-04-01,partial,0.9351071386166941,1.019024998987211,0.8615605473531419,0.9195157021700294,6.223374413006936,11.424783802084958,0.11096749302923034,0.6545454545454545,11,36
2015-07-01,partial,0.9199915768693916,0.9901353645999924,0.8181593536868581,0.9183864197330521,4.499320532978817,11.25286278005602,0.10875162078746776,0.6909090909090909,11,38
2015-10-01,partial,0.834536828286875,1.0755317921317344,0.827460407230595,0.8890067340203144,4.795771184741787,8.009555590363686,0.11724722756922026,0.5454545454545454,11,30
2016-01-01,partial,0.9575152088411064,1.3684792829692658,0.9198161803270003,0.9247727141333435,11.471344020254126,12.293049037719394,0.12099564473521275,0.5272727272727272,11,29
2016-04-01,partial,0.9773231894180965,1.33255081217889,0.9107618640459956,0.9311949095023867,10.205971407957525,13.533808367488273,0.12677184305512726,0.509090909090909,11,28
2016-07-01,partial,0.9601860029160397,1.219990806045079,0.8944002816914081,0.9236919938651704,8.469722230486639,12.104784814231516,0.12902836202827034,0.4909090909090909,11,27
2016-10-01,partial,0.9156576467408788,1.2010336956015775,0.8543596388207522,0.9027375167981748,5.866228509068605,9.281456601564892,0.12688184669776245,0.4727272727272727,11,26
2017-01-01,partial,0.8330275638327133,1.0692705799594953,0.7886500920465127,0.8816948718033819,3.7314901136369287,7.452718958539502,0.12217303244312813,0.4909090909090909,11,27
2017-04-01,partial,0.8389675180356337,1.1223128510570974,0.7903692408221652,0.8801425256345095,3.77029231741548,7.343242716350118,0.12190639368364178,0.4909090909090909,11,27
2017-07-01,partial,0.860249930762428,1.061908773188266,0.7850274697645343,0.8847444257461906,3.6517571287116115,7.676369941100253,0.1272751310185221,0.4727272727272727,11,26
2017-10-01,partial,0.757730654668073,0.9681904346989885,0.7739427223842954,0.8359236299194062,3.4236576258340654,5.094722838570862,0.12281266026195069,0.41818181818181815,11,23
2018-01-01,partial,0.7802511841571046,0.9233929648657654,0.6864330353052831,0.8212299525742727,2.189111458133295,4.593778232986512,0.12571057007443026,0.41818181818181815,11,23
2018-04-01,partial,0.7623896931659381,1.0172589237148253,0.6759095500818658,0.7320896224832246,2.0855583688214256,2.732591507909709,0.13449136847622195,0.2727272727272727,11,15
2018-07-01,partial,0.7764009013360753,0.9176375189260089,0.6203615813734794,0.8044626102289347,1.6340853584256883,4.114111429894803,0.11527629581950297,0.4727272727272727,11,26
2018-10-01,partial,0.9413168805247228,1.2256128310998144,0.8855270294828249,0.9243967809539553,7.735686647093375,12.226950024323287,0.11069910448366715,0.6545454545454545,11,36
2019-01-01,partial,0.9489305020892842,1.2869889603709916,0.9000077820676301,0.9256975207015026,9.0007782673283,12.45850110845793,0.1106789253951386,0.6545454545454545,11,36
2019-04-01,partial,0.9809638353659137,1.4204460555433647,0.9332476876345288,0.9392355064104694,13.980754442257608,15.45697908313177,0.1116489858270545,0.6545454545454545,11,36
2019-07-01,partial,0.9733864765044312,1.4290245884666068,0.9127586533926076,0.931026479104014,10.4624548896551,13.498317426886596,0.11234028659415755,0.6363636363636364,11,35
2019-10-01,partial,0.9887832167259083,1.6731041155317325,0.9601007815547512,0.9473501037994515,24.063147574487893,17.993389772145118,0.10060959116657109,0.8181818181818182,11,45
2020-01-01,partial,0.9896424902673576,1.7425230356630395,0.9642463815633303,0.9478330589385031,26.969197069418247,18.169228244016686,0.10036677205370587,0.8181818181818182,11,45
2020-04-01,partial,0.993011488837843,1.713662713259868,0.9631951881385656,0.9518834252575781,26.17036032584213,19.782859240359667,0.09129977458240951,1.0,11,55
2020-07-01,partial,0.9915318355561439,1.677942333459679,0.9569286894579598,0.9516838765706701,22.217310720646413,19.69702469948072,0.0913457018080989,1.0,11,55
2020-10-01,partial,0.9922362523913784,1.7370233653537828,0.9649857139275978,0.9522503651648175,27.559771229726337,19.9425685338056,0.09125759927188463,1.0,11,55
2021-01-01,partial,0.9913679078995237,1.704512253789139,0.9624561773566843,0.9520652228132891,25.635540272509793,19.861680364235276,0.09133029516843717,1.0,11,55
2021-04-01,partial,0.9910690921292131,1.6936524357695193,0.9614057067682008,0.9520086787349262,24.91056646623768,19.837100826556348,0.09135832822353901,1.0,11,55
2021-07-01,partial,0.9906246529339879,1.6720541592692413,0.9599844158543035,0.9518792661352469,23.990263702236756,19.781062957405716,0.0914223222186458,1.0,11,55
2021-10-01,partial,0.99190829362545,1.7076748049296817,0.9680042688773668,0.9522606933538652,30.254169381759116,19.947099366407844,0.09144627850473082,1.0,11,55
2022-01-01,partial,0.9901706265481958,1.5631254073606407,0.9657942856055449,0.9515546616698138,28.234881296971395,19.64182095673182,0.09191064947854732,1.0,11,55
2022-04-01,partial,0.9630276981778942,1.5310198272412434,0.9466222518822686,0.9411501786223108,17.734398420000264,15.992405016527604,0.09633519231824972,0.8909090909090909,11,49
2022-07-01,partial,0.9927056826750613,1.8356468223551379,0.9769495328665274,0.9482747668486325,42.38306873390243,18.332923972979,0.10007200593778184,0.8181818181818182,11,45
2022-10-01,partial,0.9261771549234794,1.0034137639112668,0.8445698794358274,0.9332028740402708,5.433759404999811,13.970703988115929,0.09637593874085025,0.9090909090909091,11,50
2023-01-01,partial,0.9416533982425034,1.1883156595441757,0.8706124579938371,0.9376270483168824,6.728719353462708,15.032590618453417,0.09520143755579112,0.9272727272727272,11,51
2023-04-01,partial,0.9467184560918516,1.2215629411798057,0.8843526337818162,0.9378074437485621,7.646975998686988,15.079094674242134,0.09525474510877062,0.9272727272727272,11,51
2023-07-01,partial,0.9347612611395673,1.0994690221179668,0.8808512332916453,0.9364919667550793,7.392869079776046,14.746039499341268,0.09666395702852108,0.9090909090909091,11,50
2023-10-01,partial,0.9293725930665725,1.0894916755867252,0.8816361903809743,0.9354999454676314,7.448528340027853,14.50386286104861,0.09762565286070697,0.8909090909090909,11,49
2024-01-01,partial,0.9496877628068431,1.233371064437146,0.9113928133451318,0.9389665205348364,10.285766287728745,15.384450120868099,0.10146618347573394,0.8181818181818182,11,45
2024-04-01,partial,0.9180280917307451,1.1831889640656381,0.8725148435065723,0.9277174943306297,6.844050456584357,12.83460618498937,0.10068869604325664,0.8181818181818182,11,45
2024-07-01,partial,0.9670989465059399,1.2506373395163255,0.9228018005057649,0.9413976295129144,11.95366998908668,16.0641561371715,0.10268461469395523,0.8,11,44
2024-10-01,partial,0.9550244629739728,1.3375546395572977,0.9083576948547141,0.9353869099388435,9.911990902178216,14.476740070061616,0.10421759973868093,0.7636363636363637,11,42
2025-01-01,partial,0.9481512631866011,1.330071201575334,0.913328252571106,0.9347582346893488,10.53778514527361,14.327604874553309,0.10543943441814979,0.7454545454545455,11,41
2025-04-01,partial,0.9488631796037854,1.2733124252186832,0.9000710748709055,0.9323171080091854,9.007112542320828,13.77478237980305,0.10525918405832628,0.7454545454545455,11,41
2025-07-01,partial,0.9485370574176731,1.1986264848959998,0.9091820737394741,0.9380171546093446,10.011041995512413,15.133496190717986,0.10124527516767565,0.8181818181818182,11,45
2025-10-01,partial,0.9547797610406246,1.3198839623069445,0.9109193631002579,0.9380675904466826,10.225784130006542,15.146634810633422,0.10052330416416008,0.8181818181818182,11,45
2026-01-01,partial,0.9404390680302418,1.3271631299446776,0.8894831850529623,0.9359481186257238,8.048396847839165,14.612343908474308,0.09736445314976612,0.8727272727272727,11,48
2026-04-01,partial,0.970285048806435,1.5002008458937455,0.9253150663194084,0.9419084059262106,12.389581415131797,16.214194513749703,0.10148757321182439,0.8,11,44
