date,country,dlog_spread,overshoot,jump_bp,spread_bp
2007-11-01,ARG,0.25129802756141384,0.0018549499706066452,89.03399999999999,400.676
2007-11-01,URY,0.24302256962057633,0.03975979535849633,52.67399999999998,244.148
2007-11-01,SLV,0.24020417962695273,0.0613403526510663,42.96300000000002,201.20100000000002
2007-11-01,PER,0.3180536162049883,0.11504462179893388,51.141999999999996,187.721
2007-11-01,PAN,0.2917471186999503,0.09828572184829198,49.40100000000001,195.228
2007-11-01,DOM,0.23228688637578632,0.05417663232946632,55.72799999999998,268.852
2007-11-01,COL,0.30409184225036334,0.10716470226430877,52.54600000000002,200.399
2007-11-01,CHL,0.24733845806507304,0.07214360839070849,31.375,143.184
2007-11-01,BRA,0.2814327333616724,0.11528476603861232,53.84200000000001,219.496
2007-11-01,MEX,0.3376634993410379,0.17463285072336154,48.57299999999998,169.50099999999998
2008-01-01,DOM,0.2439916495764498,0.06588139553012981,77.66800000000006,358.73400000000004
2008-01-01,COL,0.2719637059854323,0.07503656599937772,61.03799999999998,256.335
2008-01-01,PAN,0.2567679849575999,0.06330658810594159,53.81299999999999,237.635
2008-06-01,BRA,0.2309416799683106,0.06479371264525052,46.85600000000002,227.22000000000003
2008-06-01,COL,0.35308131301046863,0.15615417302441406,65.857,221.383
2008-06-01,SLV,0.1877301513459635,0.008866324370077061,48.81,285.169
2008-06-01,MEX,0.20164294512639191,0.03861229650871556,35.39099999999999,193.803
2008-06-01,PER,0.281813352985683,0.07880435857962859,48.803,198.721
2008-06-01,PAN,0.24480065856431388,0.05133926171265557,47.301000000000016,217.83700000000002
2008-09-01,ECU,0.32383959717358657,0.030808553670044203,276.9999999999999,1001.324
2008-09-01,COL,0.3513829720831687,0.15445583209711414,94.09799999999998,317.592
2008-09-01,URY,0.2558457973313013,0.0525830230692213,93.11199999999997,412.477
2008-09-01,ARG,0.3514179917457403,0.1019749141549331,282.356,952.906
2008-09-01,MEX,0.28444205869219985,0.1214114100745235,68.02100000000002,274.759
2008-09-01,DOM,0.30125822392969503,0.12314796988337504,174.651,671.442
2008-09-01,CHL,0.2788804828360263,0.10368563316166174,54.315000000000026,223.17900000000003
2008-09-01,BRA,0.3284030209789046,0.16225505365584453,93.108,332.615
2008-09-01,SLV,0.22754311943307481,0.04867929245718838,78.173,384.12
2008-09-01,PER,0.41752773382790576,0.21451873942185135,105.77000000000001,309.879
2008-09-01,PAN,0.3009189224691369,0.10745752561747857,79.13999999999999,304.546
2008-10-01,PAN,0.517966146165878,0.3245047493142197,206.668,511.214
2008-10-01,DOM,0.9228407616602974,0.7447305076139774,1018.1940000000002,1689.6360000000002
2008-10-01,ECU,1.1460688523073097,0.8530378088037673,2148.6429999999996,3149.9669999999996
2008-10-01,COL,0.5138080230428912,0.3168808830568366,213.30899999999997,530.901
2008-10-01,BRA,0.3038295772726274,0.1376816099495673,118.09100000000001,450.706
2008-10-01,SLV,0.7523840183291757,0.5735201913532892,431.00300000000004,815.123
2008-10-01,URY,0.7037339599964305,0.5004711857343505,421.25699999999995,833.7339999999999
2008-10-01,PER,0.5039457873447395,0.3009367929386851,203.04499999999996,512.924
2008-10-01,MEX,0.3513261715883784,0.18829552297070207,115.65999999999997,390.419
2008-10-01,CHL,0.49348363926108174,0.3182887895867172,142.39099999999996,365.57
2008-10-01,ARG,0.6287531892923539,0.3793101117015467,834.0509999999999,1786.9569999999999
2008-11-01,MEX,0.21112392745621822,0.048093278838541864,91.774,482.193
2010-01-01,PER,0.2608042769342287,0.057795282528174285,49.025000000000006,213.55300000000003
2010-01-01,BRA,0.20758698475252668,0.041439017429466596,43.495000000000005,232.026
2010-01-01,CHL,0.22495384028141263,0.04975899060704808,24.05800000000002,119.42600000000002
2010-01-01,PAN,0.24781505471023646,0.05435365785857815,46.791,213.17499999999998
2010-05-01,SLV,0.2676216134882736,0.0887577865123872,79.23699999999997,337.462
2010-05-01,URY,0.24058841326895397,0.03732563900687397,55.86499999999998,261.253
