date,country,alpha_iet,xmin_iet,n_events_window,mean_wait_months
2011-09-01,ARG,,,4,15.330705212439772
2011-10-01,ARG,,,4,15.330705212439772
2011-11-01,ARG,,,4,15.330705212439772
2011-12-01,ARG,,,4,15.330705212439772
2012-01-01,ARG,,,4,15.330705212439772
2012-02-01,ARG,,,4,15.330705212439772
2012-03-01,ARG,,,4,15.330705212439772
2012-04-01,ARG,,,4,15.330705212439772
2012-05-01,ARG,2.759614419327117,7.982917214191852,5,13.493758212877792
2012-06-01,ARG,2.759614419327117,7.982917214191852,5,13.493758212877792
2012-07-01,ARG,2.759614419327117,7.982917214191852,5,13.493758212877792
2012-08-01,ARG,2.759614419327117,7.982917214191852,5,13.493758212877792
2012-09-01,ARG,2.759614419327117,7.982917214191852,5,13.493758212877792
2012-10-01,ARG,2.759614419327117,7.982917214191852,5,13.493758212877792
2012-11-01,ARG,2.759614419327117,7.982917214191852,5,13.493758212877792
2012-12-01,ARG,,,4,14.651773981603151
2013-01-01,ARG,,,4,14.651773981603151
2013-02-01,ARG,,,4,14.651773981603151
2013-03-01,ARG,,,4,14.651773981603151
2013-04-01,ARG,,,4,14.651773981603151
2013-05-01,ARG,,,4,14.651773981603151
2013-06-01,ARG,,,4,14.651773981603151
2013-07-01,ARG,,,4,14.651773981603151
2013-08-01,ARG,,,4,14.651773981603151
2013-09-01,ARG,,,4,14.651773981603151
2008-10-01,BRA,,,4,3.6684187472623737
2008-11-01,BRA,,,4,3.6684187472623737
2008-12-01,BRA,,,4,3.6684187472623737
2009-01-01,BRA,,,4,3.6684187472623737
2009-02-01,BRA,,,4,3.6684187472623737
2009-03-01,BRA,,,4,3.6684187472623737
2009-04-01,BRA,,,4,3.6684187472623737
2009-05-01,BRA,,,4,3.6684187472623737
2009-06-01,BRA,,,4,3.6684187472623737
2009-07-01,BRA,,,4,3.6684187472623737
2009-08-01,BRA,,,4,3.6684187472623737
2009-09-01,BRA,,,4,3.6684187472623737
2009-10-01,BRA,,,4,3.6684187472623737
2009-11-01,BRA,,,4,3.6684187472623737
2009-12-01,BRA,,,4,3.6684187472623737
2010-01-01,BRA,1.689159454235814,0.9855453350854139,5,6.504599211563732
2010-02-01,BRA,1.689159454235814,0.9855453350854139,5,6.504599211563732
2010-03-01,BRA,1.689159454235814,0.9855453350854139,5,6.504599211563732
2010-04-01,BRA,1.689159454235814,0.9855453350854139,5,6.504599211563732
2010-05-01,BRA,2.477049475142744,3.0223390275952693,6,5.9921156373193165
2010-06-01,BRA,2.477049475142744,3.0223390275952693,6,5.9921156373193165
2010-07-01,BRA,2.477049475142744,3.0223390275952693,6,5.9921156373193165
2010-08-01,BRA,2.477049475142744,3.0223390275952693,6,5.9921156373193165
2010-09-01,BRA,2.477049475142744,3.0223390275952693,6,5.9921156373193165
2010-10-01,BRA,2.477049475142744,3.0223390275952693,6,5.9921156373193165
2010-11-01,BRA,2.477049475142744,3.0223390275952693,6,5.9921156373193165
2010-12-01,BRA,2.477049475142744,3.0223390275952693,6,5.9921156373193165
2011-01-01,BRA,2.477049475142744,3.0223390275952693,6,5.9921156373193165
2011-02-01,BRA,2.477049475142744,3.0223390275952693,6,5.9921156373193165
2011-03-01,BRA,2.477049475142744,3.0223390275952693,6,5.9921156373193165
2011-04-01,BRA,2.477049475142744,3.0223390275952693,6,5.9921156373193165
2011-05-01,BRA,2.477049475142744,3.0223390275952693,6,5.9921156373193165
2011-06-01,BRA,2.477049475142744,3.0223390275952693,6,5.9921156373193165
2011-07-01,BRA,2.477049475142744,3.0223390275952693,6,5.9921156373193165
2011-08-01,BRA,2.15982468015509,3.0223390275952693,7,7.495619798510731
2011-09-01,BRA,2.15982468015509,3.0223390275952693,8,6.570302233902759
2011-10-01,BRA,2.15982468015509,3.0223390275952693,8,6.570302233902759
2011-11-01,BRA,2.15982468015509,3.0223390275952693,8,6.570302233902759
2011-12-01,BRA,2.15982468015509,3.0223390275952693,8,6.570302233902759
2012-01-01,BRA,2.15982468015509,3.0223390275952693,8,6.570302233902759
2012-02-01,BRA,2.15982468015509,3.0223390275952693,8,6.570302233902759
2012-03-01,BRA,2.15982468015509,3.0223390275952693,8,6.570302233902759
2012-04-01,BRA,2.15982468015509,3.0223390275952693,8,6.570302233902759
2012-05-01,BRA,1.6645287534266235,0.9855453350854139,9,6.746879106438897
2012-06-01,BRA,1.6645287534266235,0.9855453350854139,9,6.746879106438897
2012-07-01,BRA,1.6645287534266235,0.9855453350854139,9,6.746879106438897
2012-08-01,BRA,1.6645287534266235,0.9855453350854139,9,6.746879106438897
2012-09-01,BRA,1.6645287534266235,0.9855453350854139,9,6.746879106438897
2012-10-01,BRA,1.6645287534266235,0.9855453350854139,9,6.746879106438897
2012-11-01,BRA,1.6645287534266235,0.9855453350854139,9,6.746879106438897
2012-12-01,BRA,1.6945470100568345,0.9855453350854139,8,6.7110944246292465
2013-01-01,BRA,1.6945470100568345,0.9855453350854139,8,6.7110944246292465
2013-02-01,BRA,1.6945470100568345,0.9855453350854139,8,6.7110944246292465
2013-03-01,BRA,1.6945470100568345,0.9855453350854139,8,6.7110944246292465
