date,type,src,dst,weight
2009-10-01,mst,ARG,ECU,0.7164163918603995
2009-10-01,mst,BRA,COL,0.9448194029953172
2009-10-01,mst,BRA,MEX,0.9196017947674057
2009-10-01,mst,CHL,URY,0.7305189691636845
2009-10-01,mst,COL,PAN,0.957951822322047
2009-10-01,mst,DOM,SLV,0.9721051175833421
2009-10-01,mst,DOM,URY,0.8979739795239364
2009-10-01,mst,PAN,PER,0.9592976702334667
2009-10-01,mst,PAN,SLV,0.8966417116482301
2010-01-01,corr,ARG,BRA,0.7643573567348125
2010-01-01,corr,ARG,CHL,0.6964752364866001
2010-01-01,corr,ARG,COL,0.7606249227060146
2010-01-01,corr,ARG,DOM,0.8256534643827564
2010-01-01,corr,ARG,ECU,0.7162101359646703
2010-01-01,corr,ARG,MEX,0.7319191644524705
2010-01-01,corr,ARG,PAN,0.806463854788114
2010-01-01,corr,ARG,PER,0.7842913158797024
2010-01-01,corr,ARG,SLV,0.8563230313714844
2010-01-01,corr,ARG,URY,0.8872515948003391
2010-01-01,corr,BRA,CHL,0.5991742159177168
2010-01-01,corr,BRA,COL,0.9419794554865518
2010-01-01,corr,BRA,DOM,0.7255493120005647
2010-01-01,corr,BRA,ECU,0.4368624926926573
2010-01-01,corr,BRA,MEX,0.9153498346783544
2010-01-01,corr,BRA,PAN,0.9104174568012972
2010-01-01,corr,BRA,PER,0.8743613751884827
2010-01-01,corr,BRA,SLV,0.7592944184048194
2010-01-01,corr,BRA,URY,0.8188682783062455
2010-01-01,corr,CHL,COL,0.5695700505397162
2010-01-01,corr,CHL,DOM,0.5815346689290696
2010-01-01,corr,CHL,ECU,0.5490760960696609
2010-01-01,corr,CHL,MEX,0.5067666509930668
2010-01-01,corr,CHL,PAN,0.5029287581397157
2010-01-01,corr,CHL,PER,0.5134829125169675
2010-01-01,corr,CHL,SLV,0.5652103416074549
2010-01-01,corr,CHL,URY,0.7287342287515336
2010-01-01,corr,COL,DOM,0.8124060050667874
2010-01-01,corr,COL,ECU,0.5124097312011978
2010-01-01,corr,COL,MEX,0.8918362144123237
2010-01-01,corr,COL,PAN,0.9565583770558227
2010-01-01,corr,COL,PER,0.9367738599082002
2010-01-01,corr,COL,SLV,0.8139312756122555
2010-01-01,corr,COL,URY,0.8719653586813236
2010-01-01,corr,DOM,ECU,0.6853670439401036
2010-01-01,corr,DOM,MEX,0.6805868764497419
2010-01-01,corr,DOM,PAN,0.8662866565899809
2010-01-01,corr,DOM,PER,0.8750999843639188
2010-01-01,corr,DOM,SLV,0.970061528168488
2010-01-01,corr,DOM,URY,0.8982177766292404
2010-01-01,corr,ECU,MEX,0.432431071543957
