date,type,country,kappa_country,strength,degree
2009-10-01,corr,ARG,0.9816336284032763,7.835987460561743,10
2010-01-01,corr,ARG,0.981501941710605,7.829570077566965,10
2010-04-01,corr,ARG,0.981815945743483,7.825063593351946,10
2010-07-01,corr,ARG,0.9830724097055821,7.917664700169216,10
2010-10-01,corr,ARG,0.9825799218760733,7.829035154055366,10
2011-01-01,corr,ARG,0.8947163936701306,5.498601774364327,9
2011-04-01,corr,ARG,0.8960419900967237,6.550631736180523,10
2011-07-01,corr,ARG,0.9377486335699539,7.241271578238751,10
2011-10-01,corr,ARG,0.9796702536328316,7.438895407507396,9
2012-01-01,corr,ARG,0.9880019710572204,7.629417937144908,9
2012-04-01,corr,ARG,0.9834049179498034,7.232357088617601,9
2012-07-01,corr,ARG,0.9848492537249549,7.442423461849102,9
2012-10-01,corr,ARG,0.9709438428570893,7.7374374031126525,10
2013-01-01,corr,ARG,0.9503154079309837,6.890877196304601,10
2013-04-01,corr,ARG,0.9108322677185099,6.838202956029476,10
2013-07-01,corr,ARG,0.9233104998274977,6.431910641038713,10
2013-10-01,corr,ARG,0.8740771556794429,4.923583293212428,8
2014-01-01,corr,ARG,0.891809596966034,3.997384824101446,8
2014-04-01,corr,ARG,0.9114132916136622,5.069070236226032,8
2014-07-01,corr,ARG,0.8524397033682407,3.490396741433585,7
2014-10-01,corr,ARG,0.8525226333039102,2.139772782916983,5
2015-01-01,corr,ARG,0.8521606891271084,3.2992385562988495,7
2015-04-01,corr,ARG,0.8868572768655948,3.806769324216285,8
2015-07-01,corr,ARG,0.8822414726861821,3.4357581500702365,7
2015-10-01,corr,ARG,0.8632395563565196,1.7226260891212217,4
2016-01-01,corr,ARG,0.905212213900597,4.0035588412333025,8
2016-04-01,corr,ARG,,0.0,0
2016-07-01,corr,ARG,,0.0,0
2016-10-01,corr,ARG,0.8908863499315062,1.3912587254735551,3
2017-01-01,corr,ARG,0.8749779588457784,2.334760382208284,5
2017-04-01,corr,ARG,,0.0,0
2017-07-01,corr,ARG,,0.0,0
2017-10-01,corr,ARG,0.7979973385027492,0.4101241486009315,1
2018-01-01,corr,ARG,,0.0,0
2018-04-01,corr,ARG,,0.0,0
2018-07-01,corr,ARG,0.9175029989755745,4.016158114403691,8
2018-10-01,corr,ARG,0.9436775556604069,5.314858733917062,10
2019-01-01,corr,ARG,0.9321177909678953,4.830571885134581,9
2019-04-01,corr,ARG,0.9688957302895711,5.954327114967999,10
2019-07-01,corr,ARG,0.9573388290201051,5.094182978280035,9
2019-10-01,corr,ARG,0.8066477541794373,1.3742636444235892,3
2020-01-01,corr,ARG,0.7957535441564211,1.4768153637757504,3
2020-04-01,corr,ARG,0.9711133834363507,6.4982320699014,10
2020-07-01,corr,ARG,0.9702514694839683,6.737389754446197,10
2020-10-01,corr,ARG,0.9668625184149384,6.265609916961284,10
2021-01-01,corr,ARG,0.965706631800853,6.160003908563794,10
2021-04-01,corr,ARG,0.9645053061575564,6.087387947332006,10
2021-07-01,corr,ARG,0.9640600887675367,6.117072204146132,10
2021-10-01,corr,ARG,0.9788778795273047,7.47540245773636,10
2022-01-01,corr,ARG,0.9783809311808422,7.433135189997947,10
2022-04-01,corr,ARG,0.7795758135284533,1.766169579966339,3
2022-07-01,corr,ARG,0.6808607164795185,1.725989366271846,3
2022-10-01,corr,ARG,0.8959545807052992,5.512020119740854,9
2023-01-01,corr,ARG,0.9406387629756287,6.909842174601635,10
2023-04-01,corr,ARG,0.9085193201255397,6.324757851127195,10
2023-07-01,corr,ARG,0.8983278223575679,5.753082039442754,10
2023-10-01,corr,ARG,0.9388519610459637,5.256928437096029,9
2024-01-01,corr,ARG,0.9413484959540133,4.758615837487096,9
2024-04-01,corr,ARG,0.9594491018024094,4.900574785968055,9
2024-07-01,corr,ARG,0.9109643025230933,2.9111817637804682,5
2024-10-01,corr,ARG,0.9399953963567843,3.1999495284070085,6
2025-01-01,corr,ARG,0.8899564175578194,2.086495543802381,4
2025-04-01,corr,ARG,0.9183825307134004,2.6333081999030004,5
2025-07-01,corr,ARG,0.8235332529457796,1.8062790807089506,4
2025-10-01,corr,ARG,,0.0,0
2026-01-01,corr,ARG,,0.0,0
2026-04-01,corr,ARG,,0.0,0
2009-10-01,corr,BRA,0.984670524021743,7.72273794514124,10
2010-01-01,corr,BRA,0.9846131585251872,7.746214196211502,10
2010-04-01,corr,BRA,0.9851786391553489,7.711861555576227,10
2010-07-01,corr,BRA,0.9858143421857062,7.873010657224002,10
2010-10-01,corr,BRA,0.9860918679199978,7.854190127656478,10
2011-01-01,corr,BRA,0.9760938685606717,6.188304457583687,8
2011-04-01,corr,BRA,0.9584332739834789,7.296896369064521,9
2011-07-01,corr,BRA,0.9631320136568594,7.108971574611266,9
2011-10-01,corr,BRA,0.9831091416973147,7.7809780669167665,9
2012-01-01,corr,BRA,0.9905575223125785,7.838813363785002,9
2012-04-01,corr,BRA,0.9894087008037081,7.884502894265444,9
2012-07-01,corr,BRA,0.9907922438063298,8.073487249918434,9
2012-10-01,corr,BRA,0.9757618348324566,8.495801330205925,10
2013-01-01,corr,BRA,0.9549110092184107,8.327937771965583,10
2013-04-01,corr,BRA,0.9843687989728522,7.904801575630851,9
2013-07-01,corr,BRA,0.9782399881999607,7.878804254403823,9
2013-10-01,corr,BRA,0.95206487234149,7.2500135584498295,9
2014-01-01,corr,BRA,0.9568093453640889,7.552734687946103,10
2014-04-01,corr,BRA,0.9654306664950119,8.018365459006205,10
2014-07-01,corr,BRA,0.931000046124663,7.47411180752796,10
2014-10-01,corr,BRA,0.9022209261331626,7.0413432151978395,9
2015-01-01,corr,BRA,0.935744584043096,7.536295240485116,10
2015-04-01,corr,BRA,0.9465884897089669,7.124713051873365,10
2015-07-01,corr,BRA,0.9262530229641999,6.57848790472405,9
2015-10-01,corr,BRA,0.9510158707306248,6.83424904399246,9
2016-01-01,corr,BRA,0.9365019502100773,6.747324266086959,9
2016-04-01,corr,BRA,0.9736153003211743,6.262905382911586,9
2016-07-01,corr,BRA,0.9727815828918188,6.217660782027407,9
2016-10-01,corr,BRA,0.9590365103992493,6.0860546329333305,9
2017-01-01,corr,BRA,0.9443564296985518,6.011507249586041,9
2017-04-01,corr,BRA,0.9734505853467034,6.156635127298365,9
2017-07-01,corr,BRA,0.9730669152511662,6.10236265953269,9
2017-10-01,corr,BRA,0.919146218792185,5.044487583796048,8
2018-01-01,corr,BRA,0.9265669699704997,4.7800876771901,8
2018-04-01,corr,BRA,0.9144998126621319,4.519614618258123,7
2018-07-01,corr,BRA,0.9289438251214008,5.7831153644647,9
2018-10-01,corr,BRA,0.9485716483932602,6.64796887008796,10
2019-01-01,corr,BRA,0.933438827251295,4.792791206705521,8
2019-04-01,corr,BRA,0.9598244983334029,5.35220619536303,9
2019-07-01,corr,BRA,0.9630529520104351,5.609043909480101,9
2019-10-01,corr,BRA,0.907060441107397,5.335079081978148,9
2020-01-01,corr,BRA,0.9081927039223365,5.291320458893756,9
